year,band,country,facets,score,question
2015,band_A,New-Zealand,Political,3.0,
2015,band_A,United-Kingdom,Political,4.0,
2015,band_B,Australia,Political,4.0,
2015,band_B,Belgium,Political,3.0,
2015,band_B,Canada,Political,3.0,
2015,band_B,Denmark,Political,4.0,
2015,band_B,Finland,Political,4.0,
2015,band_B,Germany,Political,4.0,
2015,band_B,Japan,Political,4.0,
2015,band_B,Latvia,Political,3.0,
2015,band_B,Netherlands,Political,4.0,
2015,band_B,Norway,Political,4.0,
2015,band_B,Poland,Political,3.0,
2015,band_B,Singapore,Political,2.0,
2015,band_B,Sweden,Political,4.0,
2015,band_B,Switzerland,Political,4.0,
2015,band_B,Taiwan,Political,3.0,
2015,band_B,United-States,Political,3.0,
2015,band_C,Argentina,Political,2.0,
2015,band_C,Austria,Political,4.0,
2015,band_C,Bulgaria,Political,3.0,
2015,band_C,Croatia,Political,3.0,
2015,band_C,Czech-Republic,Political,3.0,
2015,band_C,France,Political,3.0,
2015,band_C,Georgia,Political,2.0,
2015,band_C,Greece,Political,3.0,
2015,band_C,Hungary,Political,3.0,
2015,band_C,Italy,Political,3.0,
2015,band_C,Lithuania,Political,3.0,
2015,band_C,Mexico,Political,2.0,
2015,band_C,Serbia,Political,3.0,
2015,band_C,South-Korea,Political,3.0,
2015,band_C,Spain,Political,2.0,
2015,band_D,Armenia,Political,1.0,
2015,band_D,Bangladesh,Political,1.0,
2015,band_D,Benin,Political,2.0,
2015,band_D,Bosnia-and-Herzegovina,Political,2.0,
2015,band_D,Cape-Verde,Political,1.0,
2015,band_D,Ghana,Political,1.0,
2015,band_D,India,Political,2.0,
2015,band_D,Indonesia,Political,2.0,
2015,band_D,Kenya,Political,1.0,
2015,band_D,Malaysia,Political,0.0,
2015,band_D,Namibia,Political,2.0,
2015,band_D,Philippines,Political,2.0,
2015,band_D,Portugal,Political,3.0,
2015,band_D,Russian-Federation,Political,1.0,
2015,band_D,South-Africa,Political,3.0,
2015,band_D,Tunisia,Political,2.0,
2015,band_D,Turkey,Political,1.0,
2015,band_D,Ukraine,Political,2.0,
2015,band_E,Afghanistan,Political,1.0,
2015,band_E,Azerbaijan,Political,1.0,
2015,band_E,Botswana,Political,1.0,
2015,band_E,Brazil,Political,2.0,
2015,band_E,Burundi,Political,0.0,
2015,band_E,China,Political,0.0,
2015,band_E,Comoros,Political,1.0,
2015,band_E,Ethiopia,Political,0.0,
2015,band_E,"Gambia,-The",Political,0.0,
2015,band_E,"Iran,-Islamic-Rep.",Political,1.0,
2015,band_E,Jordan,Political,0.0,
2015,band_E,Lebanon,Political,1.0,
2015,band_E,Liberia,Political,1.0,
2015,band_E,Madagascar,Political,1.0,
2015,band_E,Malawi,Political,2.0,
2015,band_E,Mali,Political,2.0,
2015,band_E,Mozambique,Political,1.0,
2015,band_E,Niger,Political,2.0,
2015,band_E,Nigeria,Political,1.0,
2015,band_E,Pakistan,Political,0.0,
2015,band_E,Republic-of-Cote-d'Ivoire,Political,1.0,
2015,band_E,Rwanda,Political,0.0,
2015,band_E,Saudi-Arabia,Political,0.0,
2015,band_E,Senegal,Political,1.0,
2015,band_E,Sierra-Leone,Political,2.0,
2015,band_E,Sri-Lanka,Political,0.0,
2015,band_E,Swaziland,Political,0.0,
2015,band_E,Tanzania,Political,1.0,
2015,band_E,Thailand,Political,0.0,
2015,band_E,Uganda,Political,1.0,
2015,band_E,United-Arab-Emirates,Political,0.0,
2015,band_E,Uzbekistan,Political,1.0,
2015,band_E,Zambia,Political,1.0,
2015,band_F,Algeria,Political,0.0,
2015,band_F,Bahrain,Political,0.0,
2015,band_F,Burkina-Faso,Political,1.0,
2015,band_F,Cambodia,Political,0.0,
2015,band_F,Cameroon,Political,0.0,
2015,band_F,Central-African-Republic,Political,0.0,
2015,band_F,Chad,Political,0.0,
2015,band_F,"Congo,-Rep.",Political,0.0,
2015,band_F,Democratic-Republic-of-the-Congo,Political,1.0,
2015,band_F,"Egypt,-Arab-Rep.",Political,0.0,
2015,band_F,Equatorial-Guinea,Political,0.0,
2015,band_F,Eritrea,Political,0.0,
2015,band_F,Gabon,Political,0.0,
2015,band_F,Guinea-Bissau,Political,1.0,
2015,band_F,Guinea,Political,1.0,
2015,band_F,Iraq,Political,1.0,
2015,band_F,Kuwait,Political,1.0,
2015,band_F,Libya,Political,1.0,
2015,band_F,Mauritania,Political,1.0,
2015,band_F,Morocco,Political,0.0,
2015,band_F,Myanmar,Political,0.0,
2015,band_F,Oman,Political,0.0,
2015,band_F,Qatar,Political,0.0,
2015,band_F,Somalia,Political,1.0,
2015,band_F,South-Sudan,Political,0.0,
2015,band_F,Sudan,Political,0.0,
2015,band_F,Syrian-Arab-Republic,Political,0.0,
2015,band_F,Togo,Political,0.0,
2015,band_F,"Yemen,-Rep.",Political,0.0,
2015,band_F,Zimbabwe,Political,1.0,
2015,band_A,New-Zealand,Political,3.0,
2015,band_A,United-Kingdom,Political,4.0,
2015,band_B,Australia,Political,4.0,
2015,band_B,Belgium,Political,3.0,
2015,band_B,Canada,Political,3.0,
2015,band_B,Denmark,Political,4.0,
2015,band_B,Finland,Political,4.0,
2015,band_B,Germany,Political,4.0,
2015,band_B,Japan,Political,4.0,
2015,band_B,Latvia,Political,3.0,
2015,band_B,Netherlands,Political,4.0,
2015,band_B,Norway,Political,4.0,
2015,band_B,Poland,Political,3.0,
2015,band_B,Singapore,Political,1.0,
2015,band_B,Sweden,Political,4.0,
2015,band_B,Switzerland,Political,4.0,
2015,band_B,Taiwan,Political,3.0,
2015,band_B,United-States,Political,4.0,
2015,band_C,Argentina,Political,2.0,
2015,band_C,Austria,Political,3.0,
2015,band_C,Bulgaria,Political,3.0,
2015,band_C,Croatia,Political,3.0,
2015,band_C,Czech-Republic,Political,2.0,
2015,band_C,France,Political,3.0,
2015,band_C,Georgia,Political,2.0,
2015,band_C,Greece,Political,3.0,
2015,band_C,Hungary,Political,2.0,
2015,band_C,Italy,Political,3.0,
2015,band_C,Lithuania,Political,3.0,
2015,band_C,Mexico,Political,2.0,
2015,band_C,Serbia,Political,2.0,
2015,band_C,South-Korea,Political,3.0,
2015,band_C,Spain,Political,2.0,
2015,band_D,Armenia,Political,2.0,
2015,band_D,Bangladesh,Political,1.0,
2015,band_D,Benin,Political,2.0,
2015,band_D,Bosnia-and-Herzegovina,Political,2.0,
2015,band_D,Cape-Verde,Political,1.0,
2015,band_D,Ghana,Political,1.0,
2015,band_D,India,Political,2.0,
2015,band_D,Indonesia,Political,2.0,
2015,band_D,Kenya,Political,1.0,
2015,band_D,Malaysia,Political,1.0,
2015,band_D,Namibia,Political,2.0,
2015,band_D,Philippines,Political,2.0,
2015,band_D,Portugal,Political,2.0,
2015,band_D,Russian-Federation,Political,1.0,
2015,band_D,South-Africa,Political,2.0,
2015,band_D,Tunisia,Political,2.0,
2015,band_D,Turkey,Political,1.0,
2015,band_D,Ukraine,Political,2.0,
2015,band_E,Afghanistan,Political,1.0,
2015,band_E,Azerbaijan,Political,1.0,
2015,band_E,Botswana,Political,2.0,
2015,band_E,Brazil,Political,2.0,
2015,band_E,Burundi,Political,1.0,
2015,band_E,China,Political,0.0,
2015,band_E,Comoros,Political,1.0,
2015,band_E,Ethiopia,Political,0.0,
2015,band_E,"Gambia,-The",Political,0.0,
2015,band_E,"Iran,-Islamic-Rep.",Political,1.0,
2015,band_E,Jordan,Political,0.0,
2015,band_E,Lebanon,Political,1.0,
2015,band_E,Liberia,Political,1.0,
2015,band_E,Madagascar,Political,1.0,
2015,band_E,Malawi,Political,1.0,
2015,band_E,Mali,Political,1.0,
2015,band_E,Mozambique,Political,1.0,
2015,band_E,Niger,Political,2.0,
2015,band_E,Nigeria,Political,1.0,
2015,band_E,Pakistan,Political,1.0,
2015,band_E,Republic-of-Cote-d'Ivoire,Political,1.0,
2015,band_E,Rwanda,Political,1.0,
2015,band_E,Saudi-Arabia,Political,1.0,
2015,band_E,Senegal,Political,1.0,
2015,band_E,Sierra-Leone,Political,1.0,
2015,band_E,Sri-Lanka,Political,0.0,
2015,band_E,Swaziland,Political,0.0,
2015,band_E,Tanzania,Political,1.0,
2015,band_E,Thailand,Political,0.0,
2015,band_E,Uganda,Political,2.0,
2015,band_E,United-Arab-Emirates,Political,1.0,
2015,band_E,Uzbekistan,Political,1.0,
2015,band_E,Zambia,Political,1.0,
2015,band_F,Algeria,Political,0.0,
2015,band_F,Bahrain,Political,1.0,
2015,band_F,Burkina-Faso,Political,1.0,
2015,band_F,Cambodia,Political,1.0,
2015,band_F,Cameroon,Political,1.0,
2015,band_F,Central-African-Republic,Political,1.0,
2015,band_F,Chad,Political,0.0,
2015,band_F,"Congo,-Rep.",Political,1.0,
2015,band_F,Democratic-Republic-of-the-Congo,Political,1.0,
2015,band_F,"Egypt,-Arab-Rep.",Political,1.0,
2015,band_F,Equatorial-Guinea,Political,0.0,
2015,band_F,Eritrea,Political,0.0,
2015,band_F,Gabon,Political,0.0,
2015,band_F,Guinea-Bissau,Political,1.0,
2015,band_F,Guinea,Political,1.0,
2015,band_F,Iraq,Political,1.0,
2015,band_F,Kuwait,Political,1.0,
2015,band_F,Libya,Political,1.0,
2015,band_F,Mauritania,Political,1.0,
2015,band_F,Morocco,Political,1.0,
2015,band_F,Myanmar,Political,1.0,
2015,band_F,Oman,Political,0.0,
2015,band_F,Qatar,Political,0.0,
2015,band_F,Somalia,Political,1.0,
2015,band_F,South-Sudan,Political,0.0,
2015,band_F,Sudan,Political,0.0,
2015,band_F,Syrian-Arab-Republic,Political,1.0,
2015,band_F,Togo,Political,1.0,
2015,band_F,"Yemen,-Rep.",Political,0.0,
2015,band_F,Zimbabwe,Political,2.0,
2015,band_A,New-Zealand,Political,4.0,
2015,band_A,United-Kingdom,Political,4.0,
2015,band_B,Australia,Political,4.0,
2015,band_B,Belgium,Political,2.0,
2015,band_B,Canada,Political,2.0,
2015,band_B,Denmark,Political,3.0,
2015,band_B,Finland,Political,4.0,
2015,band_B,Germany,Political,3.0,
2015,band_B,Japan,Political,3.0,
2015,band_B,Latvia,Political,3.0,
2015,band_B,Netherlands,Political,3.0,
2015,band_B,Norway,Political,3.0,
2015,band_B,Poland,Political,4.0,
2015,band_B,Singapore,Political,2.0,
2015,band_B,Sweden,Political,3.0,
2015,band_B,Switzerland,Political,3.0,
2015,band_B,Taiwan,Political,2.0,
2015,band_B,United-States,Political,2.0,
2015,band_C,Argentina,Political,2.0,
2015,band_C,Austria,Political,2.0,
2015,band_C,Bulgaria,Political,4.0,
2015,band_C,Croatia,Political,3.0,
2015,band_C,Czech-Republic,Political,3.0,
2015,band_C,France,Political,3.0,
2015,band_C,Georgia,Political,4.0,
2015,band_C,Greece,Political,2.0,
2015,band_C,Hungary,Political,3.0,
2015,band_C,Italy,Political,4.0,
2015,band_C,Lithuania,Political,2.0,
2015,band_C,Mexico,Political,2.0,
2015,band_C,Serbia,Political,2.0,
2015,band_C,South-Korea,Political,4.0,
2015,band_C,Spain,Political,2.0,
2015,band_D,Armenia,Political,2.0,
2015,band_D,Bangladesh,Political,0.0,
2015,band_D,Benin,Political,2.0,
2015,band_D,Bosnia-and-Herzegovina,Political,2.0,
